Keyword,Wikidata_QID,Wikidata_Label,Match_Score,Instances_QIDs,Instances_Labels,Subclasses_QIDs,Subclasses_Labels,Wikipedia_English_Link
22q11 Deletion Syndrome,Q18554351,22q11 deletion syndrome,91.30434782608697,Q112193867; Q929833,class of disease; rare disease,Q16918398,chromosomal deletion syndrome,
22q11 Deletion Syndrome,Q53900495,22q11 deletion syndrome,91.30434782608697,,,,,
3' Flanking Region,Q70693960,3' flanking region,88.88888888888889,,,Q3463539; Q71131253,gene components; intergenic region,
3T3 Cells,Q68153243,3T3 cells,88.88888888888889,Q21014462,cell line,Q21014462,cell line,https://en.wikipedia.org/wiki/3T3_cells
3' Untranslated Regions,Q3272830,three prime untranslated region,100.0,Q424345,untranslated region,Q3238407,regulatory sequence,https://en.wikipedia.org/wiki/Three_prime_untranslated_region
5' Flanking Region,Q4639533,5' flanking region,88.88888888888889,,,Q3463539; Q71131253,gene components; intergenic region,https://en.wikipedia.org/wiki/5%E2%80%B2_flanking_region
5' Untranslated Regions,Q937624,five prime untranslated region,100.0,Q424345,untranslated region,Q3238407,regulatory sequence,https://en.wikipedia.org/wiki/Five_prime_untranslated_region
AAA Domain,Q24781186,AAA domain,90.0,Q898273,protein domain,Q898273,protein domain,
Acute Abdomen,Q424317,acute abdomen,84.61538461538461,Q12136,disease,Q183425,abdominal pain,https://en.wikipedia.org/wiki/Acute_abdomen
Abdominal Abscess,Q28501458,intra-abdominal abscess,88.23529411764706,Q12136,disease,Q164655,abscess,
Abdominal Abscess,Q80383542,Abdominal abscess,94.11764705882352,,,,,
Abdominal Abscess,Q95596757,Abdominal Abscess,100.0,,,,,
Abdominal Cavity,Q682466,abdominal cavity,87.5,Q103843042; Q112826905,class of anatomical entity; organism subdivision type,Q112826975; Q17136404; Q61409183,body cavity subdivision; particular anatomical entity; ventral body cavity,https://en.wikipedia.org/wiki/Abdominal_cavity
Abdominal Core,Q112118759,abdominal core,85.71428571428572,Q17781690,cardinal body part,,,
Abdominal Injuries,Q308292,abdominal trauma:,88.88888888888889,,,Q193078,injury in humans,https://en.wikipedia.org/wiki/Abdominal_trauma
Abdominal Injuries,Q42173607,Abdominal Injuries,100.0,,,,,
Abdominal Injuries,Q39938264,Abdominal injuries,94.44444444444444,,,,,
Abdominal Injuries,Q40331043,Abdominal injuries,94.44444444444444,,,,,
Abdominal Injuries,Q68839077,Abdominal injuries,94.44444444444444,,,,,
Abdominal Muscles,Q275150,rectus abdominis muscle,88.23529411764706,Q112826905; Q125984341,chiral muscle organ type; class of anatomical entity,Q112826975; Q66505016,muscle of abdomen; particular anatomical entity,https://en.wikipedia.org/wiki/Rectus_abdominis_muscle
Abdominal Muscles,Q249699,abdominal muscles,88.23529411764706,,,Q7365,muscle,https://en.wikipedia.org/wiki/Abdominal_muscles
Abdominal Neoplasms,Q71987564,abdominal neoplasm,89.47368421052632,,,Q1216998; Q4665122,abdominal mass; neoplasm,
Abdominal Oblique Muscles,Q70060580,abdominal oblique muscles,88.0,,,,,https://en.wikipedia.org/wiki/Abdominal_oblique_muscle
Abdominal Wall,Q354111,abdominal wall,85.71428571428572,Q112826905,class of anatomical entity,Q112826975; Q66511773,particular anatomical entity; subdivision of abdomen,https://en.wikipedia.org/wiki/Abdominal_wall
Abdominal Wound Closure Techniques,Q73225529,abdominal wound closure technique,100.0,,,Q72257696,wound closure technique,
Abducens Nerve,Q318773,abducens nerve,85.71428571428572,Q112826905,class of anatomical entity,Q112826975; Q180454,cranial nervi; particular anatomical entity,https://en.wikipedia.org/wiki/Abducens_nerve
Abducens Nerve Injury,Q54931978,abducens nerve injury,85.71428571428572,Q12136,disease,Q54976675,cranial nerve injury,
Abducens Nucleus,Q2004202,abducens nucleus,87.5,Q112826905,class of anatomical entity,Q1620205,cranial nerve nucleus,https://en.wikipedia.org/wiki/Abducens_nucleus
Aberrant Crypt Foci,Q4667164,aberrant crypt focus,84.21052631578947,Q2057971,health problem,,,https://en.wikipedia.org/wiki/Aberrant_crypt_foci
Aberrant Motor Behavior in Dementia,Q124289961,aberrant motor behavior in dementia,80.0,,,Q67153780,behavioral symptoms,
Aberrometry,Q73484154,aberrometry,90.9090909090909,,,Q64722791; Q796207,eye examination; ophthalmological diagnostic techniques,
Ablation Techniques,Q73507807,ablation technique,89.47368421052632,,,Q15636229,surgical procedure,
Abnormal Involuntary Movement Scale,Q73041380,abnormal involuntary movement scale,88.57142857142857,Q7295720,rating scale,,,
Abnormal Involuntary Movement Scale,Q68075171,Abnormal Involuntary Movement Scale (AIMS),90.9090909090909,,,,,
Multiple Abnormalities,Q6934911,multiple abnormalities,90.9090909090909,,,Q2852249,congenital abnormality,https://en.wikipedia.org/wiki/Multiple_abnormalities
Radiation-Induced Abnormalities,Q54974010,radiation-induced abnormality,90.32258064516128,Q12136,disease,Q14932259; Q16056098,electromagnetic radiation and health; teratogenesis,
Abnormal Karyotype,Q66824382,abnormal karyotype,88.88888888888889,Q66650077,abnormal medical finding,,,
Abortion Applicants,Q67174193,Abortion Applicants,100.0,,,Q181600,patient,
Eugenic Abortion,Q67174214,eugenic abortion,87.5,,,Q24962817,therapeutic abortion,
Habitual Abortion,Q25787,recurrent miscarriage,88.23529411764706,Q12136,disease,Q28693; Q2916477,complications of pregnancy; miscarriage,https://en.wikipedia.org/wiki/Recurrent_miscarriage
Illegal Abortion,Q24964148,illegal abortion,87.5,,,Q8452,abortion,https://en.wikipedia.org/wiki/Illegal_abortion
Illegal Abortion,Q123288880,Illegal Abortion,100.0,Q24862,short film,,,
Incomplete Abortion,Q54973841,incomplete abortion,89.47368421052632,Q12136,disease,Q28693,miscarriage,
Induced Abortion,Q14904808,abortion on request,87.5,Q30167801,obstetrics procedure,Q8452,abortion,
Legal Abortion,Q73484013,legal abortion,85.71428571428572,,,Q8452,abortion,
Missed Abortion,Q28693,miscarriage,100.0,Q112965645; Q12136; Q2916477,complications of pregnancy; disease; symptom or sign,Q102186786; Q96649463,pregnancy with abortive outcome; reproductive system symptom,https://en.wikipedia.org/wiki/Miscarriage
Missed Abortion,Q2515884,missed abortion,86.66666666666667,,,Q2916477; Q30397754,complications of pregnancy; fetal death,
Missed Abortion,Q4185694,missed miscarriage,86.66666666666667,Q11995,human pregnancy,,,
Missed Abortion,Q35566026,Missed Abortion,100.0,,,,,
Septic Abortion,Q17011656,septic abortion,86.66666666666667,,,Q30348304,abortion complication,https://en.wikipedia.org/wiki/Septic_abortion
Septic Abortion,Q18967004,spontaneous abortion complicated by genital tract and pelvic infectious disease,86.66666666666667,,,Q17011656; Q28693,miscarriage; septic abortion,
Spontaneous Abortion,Q28693,miscarriage,90.0,Q112965645; Q12136; Q2916477,complications of pregnancy; disease; symptom or sign,Q102186786; Q96649463,pregnancy with abortive outcome; reproductive system symptom,https://en.wikipedia.org/wiki/Miscarriage
Therapeutic Abortion,Q24962817,therapeutic abortion,90.0,,,Q8452,abortion,
Threatened Abortion,Q10889918,threatened abortion,89.47368421052632,Q12136,disease,Q28693; Q57157864,Early pregnancy bleeding; miscarriage,
Veterinary Abortion,Q55093337,veterinary abortion,89.47368421052632,,,Q8452,abortion,
Abruptio Placentae,Q388113,placental abruption,88.88888888888889,Q112193867,class of disease,Q12136; Q7200296,disease; placenta disease,https://en.wikipedia.org/wiki/Placental_abruption
Abruptio Placentae,Q72775483,Abruptio placentae,94.44444444444444,,,,,
Abruptio Placentae,Q28260625,Abruptio placentae,94.44444444444444,,,,,
Abruptio Placentae,Q67772902,Abruptio placentae,94.44444444444444,,,,,
Abruptio Placentae,Q72033774,Abruptio placentae,94.44444444444444,,,,,
Absorbable Implants,Q72367835,absorbable implant,100.0,,,Q181802,prosthesis,
Absorbent Pads,Q101003050,absorbent pad,85.71428571428572,,,Q27891524; Q6657015,absorbent; medical equipment,
Photon Absorptiometry,Q73227822,photon absorptiometry,90.47619047619048,,,Q245341,radiography,
Physicochemical Absorption,Q71160690,physicochemical absorption,92.3076923076923,,,Q71236841,absorption,
Physiological Absorption,Q66133460,physiological absorption,91.66666666666666,Q2996394,biological process,Q332828,absorption,
Radiation Absorption,Q71129619,radiation absorption,90.0,,,Q71160690,physicochemical absorption,
Abuse-Deterrent Formulations,Q50429629,abuse-deterrent formulations,89.28571428571429,,,Q50379782; Q50429917; Q50430248,central nervous system agent; physiological effect of drugs; sensory system agents,
Academic Dissertation,Q1266946,thesis,90.47619047619048,Q223393,literary genre,Q10383930; Q4119870; Q4129103; Q42240,Q4129103; academic work; academic writing; research,https://en.wikipedia.org/wiki/Thesis
Academic Dissertations as Topic,Q131469729,theses,80.64516129032258,,,Q732577,publication,
Academic Failure,Q16684202,academic failure,87.5,,,Q10855470; Q1121708,education issue; failure,https://en.wikipedia.org/wiki/School_failure
Academic Failure,Q11448787,academic failure,87.5,,,,,
Academic Performance,Q1815842,academic achievement,90.0,,,Q21013267,achievement,https://en.wikipedia.org/wiki/Academic_achievement
Academic Performance,Q4671147,Academic Performance Index,86.95652173913044,,,,,https://en.wikipedia.org/wiki/Academic_Performance_Index_(California_public_schools)
Academic Success,Q67203108,academic success,87.5,,,,,
Acalculous Cholecystitis,Q18555210,acalculous cholecystitis,91.66666666666666,Q112193867,class of disease,Q246084; Q376666,cholecystitis; cystitis,
Acalculous Cholecystitis,Q72217727,Acalculous cholecystitis,95.83333333333334,,,,,
Acalculous Cholecystitis,Q71794853,Acalculous cholecystitis,95.83333333333334,,,,,
Acalculous Cholecystitis,Q71408927,Acalculous cholecystitis,95.83333333333334,,,,,
Acalculous Cholecystitis,Q50162709,Acalculous cholecystitis,95.83333333333334,,,,,
Acanthamoeba Keratitis,Q922971,Acanthamoeba keratitis,95.45454545454545,Q112193867,class of disease,Q337675; Q757838,acanthamoebiasis; keratitis,https://en.wikipedia.org/wiki/Acanthamoeba_keratitis
Acanthamoeba Keratitis,Q74683242,Acanthamoeba keratitis,95.45454545454545,,,,,
Acanthamoeba Keratitis,Q29394049,Acanthamoeba Keratitis,100.0,,,,,
Acanthamoeba Keratitis,Q80195656,Acanthamoeba keratitis,95.45454545454545,,,,,
Acanthamoeba Keratitis,Q68187275,Acanthamoeba keratitis,95.45454545454545,,,,,
