Keyword,Wikidata_QID,Wikidata_Label,Match_Score,Instances_QIDs,Instances_Labels,Subclasses_QIDs,Subclasses_Labels,Wikipedia_English_Link
3T3-L1 Cells,Q42502735,3T3-L1 cells and perivascular adipocytes are not equivalent in amine transporter expression.,21.153846153846157,,,,,
A549 Cells,Q40785633,A549 cells can express interleukin-16 and stimulate eosinophil chemotaxis,21.68674698795181,,,,,
A549 Cells,Q38929320,A549 cells adapted to high nitric oxide show reduced surface CEACAM expression and altered adhesion and migration properties,14.925373134328357,,,,,
A549 Cells,Q47752406,A549 cells as a model to study endogenous LPA1 receptor signaling and regulation,19.999999999999996,,,,,
A549 Cells,Q112725146,A549 cells contain enlarged mitochondria with independently functional clustered mtDNA nucleoids,16.981132075471695,,,,,
Abbreviations as Topic,Q131470270,abbreviations,77.27272727272727,,,,,
Drug-Induced Abnormalities,Q68975232,Drug-induced abnormalities,46.15384615384615,,,,,
Drug-Induced Abnormalities,Q81804823,Drug-induced abnormalities of potassium metabolism,36.8421052631579,,,,,
Academies and Institutes,Q70363582,academies and institutes,75.0,,,Q43229,organization,
Aviation Accidents,Q108284447,aviation accident or incident,64.0,Q121551339,type of accident,Q12890393; Q1689296; Q5070802,calamity; emergency; incident,https://en.wikipedia.org/wiki/Aviation_accidents_and_incidents
Aviation Accidents,Q12311704,aviation accident in Denmark,65.21739130434783,Q74817647,aspect in a geographic region,Q744913,aviation accident,
Aviation Accidents,Q3093523,Office for the Prevention and Investigation of Accidents in Civil Aviation and Rail,47.36842105263158,Q43229,organization,,,https://en.wikipedia.org/wiki/Office_for_the_Prevention_and_Investigation_of_Accidents_in_Civil_Aviation_and_Rail
Aviation Accidents,Q11423975,lists of accidents and incidents involving United States military aircraft in Japan,29.702970297029708,Q13406463,Wikimedia list article,,,https://en.wikipedia.org/wiki/Aviation_accidents_in_Japan_involving_U.S._military_and_government_aircraft_post-World_War_II
Aviation Accidents,Q2455539,Aviation accidents and incidents in the Netherlands,37.68115942028986,Q13406463,Wikimedia list article,,,https://en.wikipedia.org/wiki/List_of_aviation_accidents_and_incidents_in_the_Netherlands
Occupational Accidents,Q39651534,"Occupational accidents among middle and high school students of the state of São Paulo, Brazil",24.13793103448276,,,,,
Occupational Accidents,Q35495127,Occupational accidents aboard merchant ships,39.39393939393939,,,,,
Occupational Accidents,Q50738643,"Occupational accidents in artisanal mining in Katanga, D.R.C.",36.14457831325302,,,,,
Occupational Accidents,Q50455602,"Occupational accidents, work performance and obstructive sleep apnea syndrome (OSAS)",32.07547169811321,,,,,
Occupational Accidents,Q59527424,Occupational Accidents and Alcohol Consumption in Spain,57.14285714285714,,,,,
Traffic Accidents,Q68957474,Traffic accidents,47.05882352941176,,,,,
Traffic Accidents,Q36187758,Traffic accidents: molecular genetic insights into the pathogenesis of the hereditary spastic paraplegias,22.95081967213115,,,,,
Traffic Accidents,Q46929871,Traffic accidents in commercial long-haul truck drivers: the influence of sleep-disordered breathing and obesity.,23.076923076923073,,,,,
Traffic Accidents,Q27009507,Traffic accidents in Brazil from 1998 to 2010: many changes and few effects,28.260869565217394,,,,,
Traffic Accidents,Q73762340,Traffic accidents,47.05882352941176,,,,,
Accounts Payable and Receivable,Q70489974,accounts payable and receivable,77.41935483870968,,,Q4116214,accounting,
Acid-Base Imbalance,Q34529044,Acid-base imbalance and the skeleton,61.81818181818181,,,,,
Acid-Base Imbalance,Q82358288,Acid-base imbalances during a 120 km endurance race compared by traditional and simplified strong ion difference methods,24.460431654676263,,,,,
Acid-Base Imbalance,Q70431007,Acid-base imbalance in lizards during activity and recovery,43.58974358974359,,,,,
Acid-Base Imbalance,Q43226804,Acid-base imbalance in uncomplicated ST-elevation myocardial infarction: the clinical role of tissue acidosis,26.5625,,,,,
Acid-Base Imbalance,Q36914572,Acid-base imbalance and arrhythmias after myocardial infarction,41.463414634146346,,,,,
Dental Acid Etching,Q41163722,Dental acid etching methods--theoretical premises and practical application,29.78723404255319,,,,,
Acne Keloid,Q3604584,acne keloidalis nuchae,54.54545454545454,Q12136,disease,Q79928,acne,https://en.wikipedia.org/wiki/Acne_keloidalis_nuchae
Acne Keloid,Q34674431,Acne keloidalis: a review,55.55555555555556,,,,,
Acne Keloid,Q46303208,Acne keloidalis nuchae: treatment with excision and second-intention healing,22.988505747126442,,,,,
Acne Keloid,Q47612468,"Acne keloidalis nuchae: another cutaneous symptom of metabolic syndrome, truncal obesity, and impending/overt diabetes mellitus?",14.388489208633093,,,,,
Acne Keloid,Q73684467,Acne keloidalis is a form of primary scarring alopecia,30.76923076923077,,,,,
Actinobacillus Infections,Q40768041,Actinobacillus infections in swine (author's transl),62.33766233766234,,,,,
Actinomycetales Infections,Q41115534,Actinomycetales infections in slender-horned gazelles: six cases (1987-1989),49.01960784313726,,,,,
Follicular Adenocarcinoma,Q5464665,follicular thyroid cancer,52.0,Q112193867,class of disease,Q18556131; Q356033,adenocarcinoma; thyroid carcinoma,https://en.wikipedia.org/wiki/Follicular_thyroid_cancer
Follicular Adenocarcinoma,Q18556133,trabecular follicular adenocarcinoma,75.40983606557377,Q112193867,class of disease,Q5464665,follicular thyroid cancer,
Follicular Adenocarcinoma,Q71276287,Follicular adenocarcinoma of the thyroid in the maxillary sinus,43.18181818181818,,,,,
Follicular Adenocarcinoma,Q78238971,FOLLICULAR ADENOCARCINOMA OF THYROID GLAND,8.955223880597018,,,,,
Follicular Adenocarcinoma,Q70130504,Follicular adenocarcinoma of the thyroid in congenital hyperplastic goiter,40.40404040404041,,,,,
Adenocarcinoma in Situ,Q18556562,adenocarcinoma in situ,77.27272727272727,Q112193867,class of disease,Q1035645; Q356033,adenocarcinoma; in situ carcinoma,
Adenocarcinoma in Situ,Q55950130,grade III prostatic intraepithelial neoplasia,67.85714285714286,Q12136,disease,Q15731388,high-grade prostatic intraepithelial neoplasia,
Adenocarcinoma in Situ,Q30713515,Adenocarcinoma in situ of the cervix: management and outcome,48.78048780487805,,,,,
Adenocarcinoma in Situ,Q68787344,Adenocarcinoma in situ of Barrett's esophagus diagnosed by endoscopic cytology,40.0,,,,,
Adenocarcinoma in Situ,Q70821858,Adenocarcinoma in situ of the cervix: an underdiagnosed lesion,50.0,,,,,
Sweat Gland Adenoma,Q12822297,hidradenoma,57.89473684210527,Q112193867,class of disease,Q18553645; Q18555150; Q55789757,benign neoplasms by histologic type; epithelial skin neoplasm; sweat gland neoplasm,https://en.wikipedia.org/wiki/Hidradenoma
Sweat Gland Adenoma,Q73099745,Sweat gland adenoma,57.89473684210527,,,,,
Sweat Gland Adenoma,Q42483954,Sweat gland adenomas: Immunohistochemical study with emphasis on myoepithelial differentiation,26.54867256637168,,,,,
Sweat Gland Adenoma,Q78516346,SWEAT GLAND ADENOMA OF THE EXTERNAL AUDITORY CANAL--CERUMINOMA,12.345679012345679,,,,,
Sweat Gland Adenoma,Q77917292,Sweat gland adenoma with predominant myoepithelial differentiated features: case report and immunohistochemical study,22.058823529411764,,,,,
Human Adenovirus Infections,Q51782680,Human adenovirus infections: update and consideration of mechanisms of viral persistence.,37.93103448275862,,,,,
Brown Adipocytes,Q40683498,Brown adipocytes are novel sites of expression and regulation of adiponectin and resistin,24.761904761904763,,,,,
Brown Adipocytes,Q69194560,Brown adipocytes differentiated in vitro can express the gene for the uncoupling protein thermogenin: effects of hypothyroidism and norepinephrine,16.049382716049386,,,,,
Brown Adipocytes,Q42377924,Brown adipocytes can display a mammary basal myoepithelial cell phenotype in vivo,26.80412371134021,,,,,
Brown Adipocytes,Q47689981,Brown adipocytes postnatally arise through both differentiation from progenitors and conversion from white adipocytes in Syrian hamster,17.218543046357617,,,,,
Brown Adipocytes,Q92615272,Brown Adipocytes Secrete GDF15 in Response to Thermogenic Activation,38.095238095238095,,,,,
Intravesical Administration,Q64641321,Intravesical Administration of rAd-IFN/Syn3 in Patients With BCG-Refractory or Relapsed Bladder Cancer,41.860465116279066,Q30612,clinical trial,,,
Intravesical Administration,Q40447909,Intravesical administration of small interfering RNA targeting PLK-1 successfully prevents the growth of bladder cancer.,31.292517006802722,,,,,
Intravesical Administration,Q39953563,Intravesical administration of gammadelta T cells successfully prevents the growth of bladder cancer in the murine model,29.931972789115648,,,,,
Intravesical Administration,Q73515435,Intravesical administration of doxorubicin to swine bladder using magnetically targeted carriers,35.77235772357723,,,,,
Intravesical Administration,Q44791621,Intravesical administration of gemcitabine in superficial bladder cancer: a phase I study with pharmacodynamic evaluation.,32.21476510067114,,,,,
Mucosal Administration,Q44149442,Mucosal administration of heat shock protein-65 decreases atherosclerosis and inflammation in aortic arch of low-density lipoprotein receptor-deficient mice,21.34831460674157,,,,,
Mucosal Administration,Q54453283,Mucosal administration of Ag85B-ESAT-6 protects against infection with Mycobacterium tuberculosis and boosts prior bacillus Calmette-Guerin immunity,23.529411764705888,,,,,
Mucosal Administration,Q37582895,Mucosal administration of flagellin induces innate immunity in the mouse lung,38.38383838383839,,,,,
Mucosal Administration,Q34177310,Mucosal administration of flagellin protects mice from Streptococcus pneumoniae lung infection,31.034482758620683,,,,,
Mucosal Administration,Q34648207,Mucosal administration of CpG oligodeoxynucleotide elicits strong CC and CXC chemokine responses in the vagina and serves as a potent Th1-tilting adjuvant for recombinant gD2 protein vaccination against genital herpes,15.899581589958157,,,,,
Ophthalmic Administration,Q50037803,Ophthalmic administration of a 10-fold-lower dose of conventional nanoliposome formulations caused levels of intraocular pressure similar to those induced by marketed eye drops,19.90049751243781,,,,,
Ophthalmic Administration,Q89587105,Ophthalmic Administration of a DNA Plasmid Harboring the Murine Tph2 Gene: Evidence of Recombinant Tph2-FLAG in Brain Structures,32.6797385620915,,,,,
Adult Survivors of Child Abuse,Q67141879,adult survivor of child abuse,76.66666666666666,,,Q73155718; Q9584157,adult human; sexual abuse victim,
Psychotic Affective Disorders,Q37696472,Psychotic affective disorders: assessment and treatment issues.,43.47826086956522,,,,,
Age of Onset,Q4691924,age of onset,58.33333333333333,,,Q185836; Q3523778,age of a person; natural history of disease,https://en.wikipedia.org/wiki/Age_of_onset
Age of Onset,Q60792030,Age of onset,66.66666666666667,,,,,https://en.wikipedia.org/wiki/Age_of_onset_(criminology)
Age of Onset,Q24669789,Age of onset of mental disorders: a review of recent literature,26.66666666666667,,,,,
Age of Onset,Q46683000,Age of onset of drug use and its association with DSM-IV drug abuse and dependence: results from the National Longitudinal Alcohol Epidemiologic Survey,13.496932515337424,,,,,
Age of Onset,Q41182097,Age of onset of sexual abuse: relationship to sexually inappropriate behaviors,22.22222222222222,,,,,
Agonistic Behavior,Q39963695,Agonistic behavior of mice and rats: a review,53.968253968253975,,,,,
Agonistic Behavior,Q33973357,Agonistic behavior and unpredictable chronic mild stress in mice,41.463414634146346,,,,,
